iter	Passed	Remaining
903	3109	330
904	3112	326
905	3115	323
906	3118	319
907	3122	316
908	3125	312
909	3128	309
910	3131	305
911	3134	302
912	3137	298
913	3140	295
914	3146	292
915	3152	289
916	3155	285
917	3159	282
918	3162	278
919	3168	275
920	3171	272
921	3175	268
922	3178	265
923	3182	261
924	3185	258
925	3188	254
926	3191	251
927	3194	247
928	3198	244
929	3201	240
930	3204	237
931	3207	234
932	3210	230
933	3213	227
934	3216	223
935	3220	220
936	3223	216
937	3226	213
938	3229	209
939	3232	206
940	3236	202
941	3239	199
942	3242	196
943	3246	192
944	3249	189
945	3252	185
946	3256	182
947	3260	178
948	3264	175
949	3267	171
950	3270	168
951	3273	165
952	3276	161
953	3280	158
954	3283	154
955	3287	151
956	3290	147
957	3294	144
958	3297	140
959	3300	137
960	3303	134
961	3307	130
962	3311	127
963	3314	123
964	3317	120
965	3320	116
966	3324	113
967	3327	109
968	3330	106
969	3333	103
970	3336	99
971	3339	96
972	3343	92
973	3346	89
974	3349	85
975	3352	82
976	3355	78
977	3358	75
978	3361	72
979	3364	68
980	3367	65
981	3370	61
982	3374	58
983	3377	54
984	3380	51
985	3383	48
986	3386	44
987	3389	41
988	3392	37
989	3395	34
990	3398	30
991	3401	27
992	3404	24
993	3408	20
994	3411	17
995	3414	13
996	3417	10
997	3420	6
998	3423	3
999	3427	0
