iter	Passed	Remaining
784	140032	38352
785	140182	38166
786	140347	37984
787	140510	37802
788	140669	37618
789	140833	37436
790	141097	37281
791	141245	37094
792	141398	36909
793	141561	36727
794	141724	36545
795	141888	36363
796	142054	36182
797	142322	36026
798	142473	35841
799	142636	35659
800	142798	35476
801	142963	35295
802	143137	35116
803	143300	34933
804	143533	34768
805	143686	34584
806	143850	34402
807	144052	34230
808	144217	34048
809	144380	33867
810	144674	33715
811	144842	33535
812	145010	33354
813	145174	33172
814	145338	32991
815	145501	32809
816	145762	32649
817	145961	32475
818	146136	32296
819	146303	32115
820	146467	31933
821	146629	31751
822	146901	31593
823	147033	31405
824	147198	31223
825	147361	31042
826	147524	30860
827	147687	30679
828	147861	30499
829	148068	30327
830	148216	30142
831	148408	29967
832	148573	29786
833	148755	29608
834	148886	29420
835	149014	29232
836	149154	29046
837	149317	28865
838	149480	28684
839	149644	28503
840	149808	28322
841	149983	28144
842	150232	27979
843	150383	27795
844	150547	27615
845	150711	27434
846	150873	27253
847	151037	27072
848	151202	26892
849	151467	26729
850	151631	26548
851	151796	26368
852	151972	26189
853	152151	26011
854	152315	25831
855	152571	25666
856	152735	25485
857	152911	25306
858	153076	25126
859	153239	24946
860	153402	24765
861	153653	24598
862	153775	24411
863	153991	24239
864	154157	24059
865	154320	23878
866	154483	23698
867	154647	23517
868	154845	23342
869	154994	23160
870	155159	22979
871	155321	22799
872	155483	22619
873	155646	22438
874	155879	22268
875	156069	22092
876	156233	21911
877	156396	21731
878	156559	21551
879	156722	21371
880	156886	21191
881	157171	21027
882	157324	20845
883	157488	20665
884	157651	20485
885	157816	20305
886	157982	20126
887	158257	19960
888	158390	19776
889	158555	19596
890	158720	19416
891	158885	19237
892	159055	19058
893	159226	18879
894	159469	18708
895	159617	18527
896	159783	18347
897	159961	18169
898	160125	17989
899	160289	17809
900	160548	17640
901	160680	17457
902	160850	17278
903	161014	17098
904	161177	16919
905	161340	16739
906	161504	16559
907	161750	16388
908	161907	16208
909	162134	16035
910	162298	15855
911	162460	15676
912	162630	15497
913	162913	15328
914	163064	15148
915	163228	14968
916	163392	14789
917	163555	14609
918	163720	14430
919	163892	14251
920	164128	14078
921	164279	13897
922	164442	13718
923	164605	13538
924	164768	13359
925	165026	13187
926	165268	13014
927	165418	12834
928	165582	12654
929	165745	12475
930	165908	12296
931	166071	12116
932	166292	11941
933	166480	11764
934	166642	11584
935	166804	11405
936	166967	11226
937	167132	11047
938	167308	10868
939	167557	10695
940	167694	10514
941	167857	10335
942	168023	10156
943	168186	9977
944	168351	9798
945	168514	9619
946	168775	9445
947	168948	9267
948	169111	9088
949	169273	8909
950	169437	8730
951	169599	8551
952	169873	8377
953	170010	8197
954	170207	8020
955	170380	7841
956	170545	7662
957	170708	7484
958	171016	7311
959	171157	7131
960	171309	6952
961	171473	6773
962	171637	6594
963	177038	6611
964	177204	6427
965	177420	6244
966	177570	6059
967	177732	5875
968	177896	5691
969	178061	5507
970	178225	5322
971	178467	5141
972	178638	4957
973	178789	4772
974	178954	4588
975	179118	4404
976	179283	4220
977	179448	4036
978	179716	3855
979	179854	3670
980	180022	3486
981	180185	3302
982	180349	3118
983	180519	2935
984	180710	2751
985	180951	2569
986	181123	2385
987	181288	2201
988	181451	2018
989	181614	1834
990	181779	1650
991	182058	1468
992	182210	1284
993	182373	1100
994	182535	917
995	182697	733
996	182890	550
997	183156	367
998	183290	183
999	183455	0
